CREW
1,-1,-1,-1,2,1,0,0
2,-1,-1,-1,3,0,0,0
3,-1,-1,-1,3,1,1,1
4,-1,-1,0,1,1,0,0
5,-1,-1,0,2,0,0,0
6,-1,-1,0,2,1,1,1
7,-1,-1,0,3,0,1,1
8,-1,-1,0,3,1,2,2
9,-1,-1,1,0,1,0,0
10,-1,-1,1,1,0,0,0
11,-1,-1,1,1,1,1,1
12,-1,-1,1,2,0,1,1
13,-1,-1,1,2,1,2,2
14,-1,-1,1,3,0,2,2
15,-1,-1,1,3,1,3,3
16,-1,-1,2,-1,1,0,0
17,-1,-1,2,0,0,0,0
18,-1,-1,2,0,1,1,1
19,-1,-1,2,1,0,1,1
20,-1,-1,2,1,1,2,2
21,-1,-1,2,2,0,2,2
22,-1,-1,2,2,1,3,3
23,-1,-1,2,3,0,3,3
24,-1,-1,3,-1,0,0,0
25,-1,-1,3,-1,1,1,1
26,-1,-1,3,0,0,1,1
27,-1,-1,3,0,1,2,2
28,-1,-1,3,1,0,2,2
29,-1,-1,3,1,1,3,3
30,-1,-1,3,2,0,3,3
31,-1,0,-1,1,1,0,0
32,-1,0,-1,2,0,0,0
33,-1,0,-1,2,1,1,1
34,-1,0,-1,3,0,1,1
35,-1,0,-1,3,1,2,2
36,-1,0,0,0,1,0,0
37,-1,0,0,1,0,0,0
38,-1,0,0,1,1,1,1
39,-1,0,0,2,0,1,1
40,-1,0,0,2,1,2,2
41,-1,0,0,3,0,2,2
42,-1,0,0,3,1,3,3
43,-1,0,1,-1,1,0,0
44,-1,0,1,0,0,0,0
45,-1,0,1,0,1,1,1
46,-1,0,1,1,0,1,1
47,-1,0,1,1,1,2,2
48,-1,0,1,2,0,2,2
49,-1,0,1,2,1,3,3
50,-1,0,1,3,0,3,3
51,-1,0,2,-1,0,0,0
52,-1,0,2,-1,1,1,1
53,-1,0,2,0,0,1,1
54,-1,0,2,0,1,2,2
55,-1,0,2,1,0,2,2
56,-1,0,2,1,1,3,3
57,-1,0,2,2,0,3,3
58,-1,0,3,-1,0,1,1
59,-1,0,3,-1,1,2,2
60,-1,0,3,0,0,2,2
61,-1,0,3,0,1,3,3
62,-1,0,3,1,0,3,3
63,-1,1,-1,0,1,0,0
64,-1,1,-1,1,0,0,0
65,-1,1,-1,1,1,1,1
66,-1,1,-1,2,0,1,1
67,-1,1,-1,2,1,2,2
68,-1,1,-1,3,0,2,2
69,-1,1,-1,3,1,3,3
70,-1,1,0,-1,1,0,0
71,-1,1,0,0,0,0,0
72,-1,1,0,0,1,1,1
73,-1,1,0,1,0,1,1
74,-1,1,0,1,1,2,2
75,-1,1,0,2,0,2,2
76,-1,1,0,2,1,3,3
77,-1,1,0,3,0,3,3
78,-1,1,1,-1,0,0,0
79,-1,1,1,-1,1,1,1
80,-1,1,1,0,0,1,1
